"","date","peak_perday","offpeak_perday","totalusage_perday","PVgen_perday","feedin_perday","PVhours_perday","PVefficiency","feedinefficiency","month","year","season"
"29",2011-10-31,5.03125,8.875,13.90625,3.4375,2.3125,11.8125,0.291005291005291,0.195767195767196,"10","2011","Spring"
"30",2011-11-26,4.5,0.692307692307692,5.19230769230769,3.88461538461538,2.61538461538462,12.8846153846154,0.301492537313433,0.202985074626866,"11","2011","Spring"
"31",2012-01-01,2.77777777777778,0.722222222222222,3.5,3.88888888888889,2.5,13.25,0.293501048218029,0.188679245283019,"12","2011","Summer"
"32",2012-01-31,4.83333333333333,0.366666666666667,5.2,4.1,3.23333333333333,12.9666666666667,0.316195372750643,0.249357326478149,"1","2012","Summer"
"33",2012-02-29,5.44827586206897,3.24137931034483,8.68965517241379,3.62068965517241,2.20689655172414,11.9655172413793,0.302593659942363,0.184438040345821,"2","2012","Summer"
"34",2012-04-06,4.40540540540541,1.51351351351351,5.91891891891892,3.75675675675676,2.64864864864865,11.1891891891892,0.335748792270531,0.236714975845411,"3","2012","Autumn"
"35",2012-05-02,7.57692307692308,6.30769230769231,13.8846153846154,2.5,1.57692307692308,10.1153846153846,0.247148288973384,0.155893536121673,"4","2012","Autumn"
"36",2012-06-01,9.03333333333333,17.6666666666667,26.7,1.56666666666667,0.8,9.26666666666667,0.169064748201439,0.0863309352517986,"5","2012","Autumn"
"37",2012-07-01,8.93333333333333,15.2333333333333,24.1666666666667,1,0.433333333333333,8.43333333333333,0.118577075098814,0.0513833992094862,"6","2012","Winter"
"38",2012-07-31,11.3,21.8,33.1,1.26666666666667,0.6,8.96666666666667,0.141263940520446,0.0669144981412639,"7","2012","Winter"
"39",2012-09-01,9.53125,19.46875,29,1.75,1.0625,9.84375,0.177777777777778,0.107936507936508,"8","2012","Winter"
"40",2012-09-30,6.3448275862069,14.3103448275862,20.6551724137931,2.86206896551724,1.89655172413793,10.2068965517241,0.280405405405405,0.185810810810811,"9","2012","Spring"
"41",2012-10-31,4.93548387096774,4.83870967741935,9.7741935483871,4.06451612903226,3.12903225806452,12.2903225806452,0.330708661417323,0.254593175853018,"10","2012","Spring"
"42",2012-11-30,3.66666666666667,0.266666666666667,3.93333333333333,4.06666666666667,2.83333333333333,11.5333333333333,0.352601156069364,0.245664739884393,"11","2012","Spring"
"43",2012-12-31,4.2258064516129,0.67741935483871,4.90322580645161,3.90322580645161,2.96774193548387,14.6774193548387,0.265934065934066,0.202197802197802,"12","2012","Summer"
"44",2013-01-31,4.48387096774194,0.419354838709677,4.90322580645161,4.06451612903226,2.83870967741935,12.9677419354839,0.313432835820896,0.218905472636816,"1","2013","Summer"
"45",2013-02-28,4.96428571428571,0.678571428571429,5.64285714285714,4.07142857142857,2.67857142857143,12.3571428571429,0.329479768786127,0.216763005780347,"2","2013","Summer"
"46",2013-03-31,4.29032258064516,3,7.29032258064516,3.29032258064516,2.2258064516129,11.2258064516129,0.293103448275862,0.198275862068965,"3","2013","Autumn"
